;Ingresos y Gastos 2012;Enero;Febrero;Marzo;Abril;Mayo;Junio;Julio;Agosto;Septiembre;Octubre;Noviembre;Diciembre;Totales;Media Mensual;Por Partidas;;
;Total Ingresos Tiendas;32.231,00;27.808,00;25.366,00;27.907,40;38.495,00;26.592,10;25.874,18;24.592,75;21.873,79;29.325,44;28.271,92;25.488,00;333.825,58;166.912,79;166.912,79;;
;Caja Tiendas;32.231,00 €;27.808,00;25.366,00;27.907,40;38.495,00;26.592,10;25.874,18;24.592,75;21.873,79;29.325,44;28.271,92;25.488,00;333.825,58;166.912,79;166.912,79;;
;Comisiones Tiendas Locales;;;;;;;;;;;;;0,00;0,00;;;
;PRV;;;;;;;;;;;;;0,00;0,00;;;
;Salidas Aluis;;;;;;;;;;;;;0,00;0,00;0,00;;
;Sanitas + Adeslas;;;;;;;;;;;;;0,00;0,00;;;
;Gastos Tiendas;;;;;;;;;;;;;0,00;0,00;-16.476,00;;
;Comisiones Tiendas;3.949,00;1.088,00;1.100,00;2.911,00;5.182,00;3.020,00;2.973,00;1.999,00;1.850,00;3.526,00;3.005,00;2.349,00;32.952,00;16.476,00;;;
;Diferencia;28.282,00;26.720,00;24.266,00;24.996,40;33.313,00;23.572,10;22.901,18;22.593,75;20.023,79;25.799,44;25.266,92;23.139,00;300.873,58;150.436,79;;;
;Salidas Aluis;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;
;Intereses Prestamo + Adeslas;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;
;Real Ganancias Tiendas;28.282,00;26.720,00;24.266,00;24.996,40;33.313,00;23.572,10;22.901,18;22.593,75;20.023,79;25.799,44;25.266,92;23.139,00; 300.873,58 € ; 150.436,79 € ;;;
;;;;;;;;;;;;;;;;;;
;Total Ingresos FFVV;20.545,00;22.465,00;18.302,00;20.829,00;28.709,00;20.116,00;19.162,00;13.854,00;11.969,00;0,00;0,00;0,00;175.951,00;87.975,50;87.975,50;;
;Caja FFVV;20.545,00 €;22.465,00 €;18.302,00 €;20.829,00;28.709,00;20.116,00;19.162,00;13.854,00;11.969,00;16,515.94 €;16,256.39 €;15,018.00 €;175.951,00;87.975,50;87.975,50;;
;Acuerdo Plan Retribución Variable;;;;;;;;;;;;;0,00;0,00;;;
;Plan Retribución Variable Trimestral;;;;;;;;;;;;;0,00;0,00;;;
;Producción Plus 2018;;;;;;;;;;;;;0,00;0,00;;;
;Producción Básico 2018;;;;;;;;;;;;;0,00;0,00;;;
;Salidas Aluis;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;
;Sanitas + Adeslas;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;
;Gastos FFVV;;;;;;;;;;;;;0,00;0,00;-26.129,50;;
;Comisiones FFVV;4.606,00;4.857,00;4.445,00;5.451,00;5.610,00;3.868,00;5.961,00;2.980,00;2.490,00;3.106,00;4.485,00;4.400,00;52.259,00;26.129,50;;;
;Diferencia;15.939,00;17.608,00;13.857,00;15.378,00;23.099,00;16.248,00;13.201,00;10.874,00;9.479,00;-3.106,00;-4.485,00;-4.400,00;123.692,00;61.846,00;;;
;Salidas Aluis;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;
;Intereses Prestamo + Adeslas;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;
;Real Ganancias FFVV;15.939,00;17.608,00;13.857,00;15.378,00;23.099,00;16.248,00;13.201,00;10.874,00;9.479,00;-3.106,00;-4.485,00;-4.400,00; 123.692,00 € ; 61.846,00 € ;;;
;Total Ganancias;44.221,00;44.328,00;38.123,00;40.374,40;56.412,00;39.820,10;36.102,18;33.467,75;29.502,79;22.693,44;20.781,92;18.739,00;424.565,58;212.282,79;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
